year,annual_rainfall_mm
1862,854.3
1863,766.9
1864,640.0
1865,846.9
1866,948.2
1867,813.7
1868,830.8
1869,847.0
1870,660.5
1871,796.8
1872,1175.5
1873,753.3
1874,764.8
1875,928.8
1876,959.6
1877,1017.2
1878,885.3
1879,878.6
1880,923.0
1881,880.1
1882,1031.1
1883,878.6
1884,707.0
1885,815.4
1886,932.8
1887,608.3
1888,799.1
1889,759.9
1890,735.8
1891,908.8
1892,764.8
1893,685.6
1894,884.7
1895,784.0
1896,758.5
1897,820.1
1898,704.4
1899,764.4
1900,885.3
1901,708.0
1902,682.8
1903,1060.4
1904,732.1
1905,689.2
1906,821.5
1907,817.7
1908,729.8
1909,858.1
1910,917.4
1911,772.3
1912,1016.1
1913,785.0
1914,884.4
1915,905.1
1916,941.1
1917,798.7
1918,869.7
1919,845.5
1920,853.2
1921,565.8
1922,852.3
1923,905.0
1924,964.1
1925,858.4
1926,821.7
1927,990.1
1928,920.4
1929,807.3
1930,947.2
1931,892.5
1932,830.5
1933,657.8
1934,764.1
1935,909.1
1936,874.5
1937,881.9
1938,808.9
1939,919.3
1940,816.7
1941,776.2
1942,757.4
1943,755.6
1944,822.4
1945,750.5
1946,962.4
1947,736.0
1948,862.2
1949,716.1
1950,915.7
1951,993.6
1952,801.9
1953,684.9
1954,992.1
1955,701.8
1956,790.6
1957,814.0
1958,946.5
1959,740.7
1960,1069.1
1961,803.9
1962,730.8
1963,791.7
1964,653.6
1965,918.7
1966,949.3
1967,908.9
1968,903.3
1969,821.7
1970,833.0
1971,732.1
1972,779.5
1973,666.7
1974,919.8
1975,688.3
1976,731.7
1977,846.8
1978,817.4
1979,905.7
1980,885.2
1981,911.8
1982,878.1
1983,800.5
1984,834.1
1985,809.2
1986,905.5
1987,846.7
1988,842.2
1989,736.7
1990,755.2
1991,719.0
1992,873.9
1993,903.8
1994,913.9
1995,751.8
1996,676.8
1997,783.1
1998,966.5
1999,935.5
2000,1109.0
2001,862.5
2002,1006.4
2003,674.2
2004,890.4
2005,745.7
2006,845.1
2007,933.3
2008,981.4
2009,874.6
2010,726.5
2011,712.8
2012,1125.9
2013,813.0
2014,983.4
2015,867.0
2016,823.2
2017,825.3
2018,795.4
2019,979.3
2020,989.2
2021,859.3
